Availability,Licence,OrphaCode,DisorderId,DisorderName,DisorderTypeId,DisorderType,DisorderGroupId,DisorderGroup,ExpertLink,TypeOfInheritanceListCount,TypeOfInheritanceIds,TypeOfInheritance,TypeOfInheritancePairs,AverageAgeOfOnsetListCount,AverageAgeOfOnsetIds,AverageAgeOfOnset,AverageAgeOfOnsetPairs
,,314399,21481,Autosomal dominant aplasia and myelodysplasia,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=314399,1,23410,Autosomal dominant,23410|Autosomal dominant,1,23529,Childhood,23529|Childhood
,,314404,21482,Autosomal dominant cerebellar ataxia-deafness-narcolepsy syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=314404,2,23410; 23494,Autosomal dominant; Not applicable,23410|Autosomal dominant; 23494|Not applicable,1,23543,Adult,23543|Adult
,,314419,21483,Ameloblastoma,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=314419,1,23494,Not applicable,23494|Not applicable,1,23557,All ages,23557|All ages
,,314373,21476,Chronic infantile diarrhea due to guanylate cyclase 2C overactivity,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=314373,1,23410,Autosomal dominant,23410|Autosomal dominant,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,314376,21477,Intestinal obstruction in the newborn due to guanylate cyclase 2C deficiency,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=314376,1,23417,Autosomal recessive,23417|Autosomal recessive,1,23515,Neonatal,23515|Neonatal
,,314381,21478,Hereditary sensory and autonomic neuropathy type 6,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=314381,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,314389,21479,Xq12-q13.3 duplication syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=314389,1,23431,X-linked recessive,23431|X-linked recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,314034,21472,7p22.1 microduplication syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=314034,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,314041,21474,Marfanoid habitus-inguinal hernia-advanced bone age syndrome,21401,Malformation syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=314041,0,,,,3,23508; 23522; 23515,Antenatal; Infancy; Neonatal,23508|Antenatal; 23522|Infancy; 23515|Neonatal
,,314051,21475,Leukoencephalopathy-thalamus and brainstem anomalies-high lactate syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=314051,1,23487,No data available,23487|No data available,2,23522; 23515,Infancy; Neonatal,23522|Infancy; 23515|Neonatal
,,306682,21251,Manganese poisoning,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=306682,0,,,,1,23557,All ages,23557|All ages
,,306674,21249,Kufor-Rakeb syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=306674,1,23417,Autosomal recessive,23417|Autosomal recessive,2,23536; 23529,Adolescent; Childhood,23536|Adolescent; 23529|Childhood
,,306669,21248,Hemiparkinsonism-hemiatrophy syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=306669,0,,,,2,23536; 23543,Adolescent; Adult,23536|Adolescent; 23543|Adult
,,306692,21253,Cyanide-induced parkinsonism-dystonia,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=306692,0,,,,1,23557,All ages,23557|All ages
,,306686,21252,Delayed encephalopathy due to carbon monoxide poisoning,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=306686,0,,,,1,23557,All ages,23557|All ages
,,306741,21262,Hemidystonia-hemiatrophy syndrome,21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=306741,1,23494,Not applicable,23494|Not applicable,5,23536; 23543; 23529; 23522; 23515,Adolescent; Adult; Childhood; Infancy; Neonatal,23536|Adolescent; 23543|Adult; 23529|Childhood; 23522|Infancy; 23515|Neonatal
,,306734,21261,"Primary dystonia, DYT21 type",21394,Disease,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=306734,1,23410,Autosomal dominant,23410|Autosomal dominant,1,23543,Adult,23543|Adult
,,306731,21260,Sydenham chorea,21429,Particular clinical situation in a disease or syndrome,36547,Disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=306731,0,,,,3,23536; 23543; 23529,Adolescent; Adult; Childhood,23536|Adolescent; 23543|Adult; 23529|Childhood
,,308166,21301,Erythrokeratoderma variabilis progressiva,21436,Clinical group,36540,Group of disorders,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=308166,0,,,,3,23529; 23522; 23515,Childhood; Infancy; Neonatal,23529|Childhood; 23522|Infancy; 23515|Neonatal
,,308380,21305,Methylcobalamin deficiency type cblDv1,21450,Clinical subtype,36554,Subtype of disorder,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=308380,1,23417,Autosomal recessive,23417|Autosomal recessive,0,,,
