OrphaCode,DisorderName,DisorderType,ExpertLink,IsLeaf,OrphaCodePath,ClassificationPath,ClassificationTypes,ClassificationDepth
363400,Progressive encephalopathy-severe neurodegeneration-lipodystrophy syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=363400,1,98006 > 182070 > 363400,Rare neurologic disease > Rare neurodegenerative disease > Progressive encephalopathy-severe neurodegeneration-lipodystrophy syndrome,Category > Category > Disease,3
363969,Autosomal recessive cerebral atrophy,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=363969,1,98006 > 182070 > 363969,Rare neurologic disease > Rare neurodegenerative disease > Autosomal recessive cerebral atrophy,Category > Category > Disease,3
371364,Hypotonia-speech impairment-severe cognitive delay syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=371364,0,98006 > 182070 > 371364,Rare neurologic disease > Rare neurodegenerative disease > Hypotonia-speech impairment-severe cognitive delay syndrome,Category > Category > Disease,3
700333,Hypotonia-speech impairment-severe cognitive delay syndrome due to UNC80 deficiency,Clinical subtype,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=700333,1,98006 > 182070 > 371364 > 700333,Rare neurologic disease > Rare neurodegenerative disease > Hypotonia-speech impairment-severe cognitive delay syndrome > Hypotonia-speech impairment-severe cognitive delay syndrome due to UNC80 deficiency,Category > Category > Disease > Clinical subtype,4
700336,Hypotonia-speech impairment-severe cognitive delay syndrome due to NALCN deficiency,Clinical subtype,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=700336,1,98006 > 182070 > 371364 > 700336,Rare neurologic disease > Rare neurodegenerative disease > Hypotonia-speech impairment-severe cognitive delay syndrome > Hypotonia-speech impairment-severe cognitive delay syndrome due to NALCN deficiency,Category > Category > Disease > Clinical subtype,4
391343,Fatal post-viral neurodegenerative disorder,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=391343,1,98006 > 182070 > 391343,Rare neurologic disease > Rare neurodegenerative disease > Fatal post-viral neurodegenerative disorder,Category > Category > Disease,3
397922,Ferro-cerebro-cutaneous syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=397922,1,98006 > 182070 > 397922,Rare neurologic disease > Rare neurodegenerative disease > Ferro-cerebro-cutaneous syndrome,Category > Category > Disease,3
401768,Proximal myopathy with extrapyramidal signs,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=401768,1,98006 > 182070 > 401768,Rare neurologic disease > Rare neurodegenerative disease > Proximal myopathy with extrapyramidal signs,Category > Category > Disease,3
438134,PCNA-related progressive neurodegenerative photosensitivity syndrome,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=438134,1,98006 > 182070 > 438134,Rare neurologic disease > Rare neurodegenerative disease > PCNA-related progressive neurodegenerative photosensitivity syndrome,Category > Category > Disease,3
454706,Progressive muscular atrophy,Disease,http://www.orpha.net/consor/cgi-bin/OC_Exp.php?lng=en&Expert=454706,1,98006 > 182070 > 454706,Rare neurologic disease > Rare neurodegenerative disease > Progressive muscular atrophy,Category > Category > Disease,3
